pre_knowl,post_knowl,knowledge gain,student_id
0.49,0.6,0.11,keila1
0.86,0.97,0.11,keila2
0.93,0.97,0.04,keila4
0.88,0.87,-0.01,keila5
0.82,1.0,0.18,keila6
0.9,0.92,0.02,keila11
0.8,1.0,0.2,keila14
0.99,0.97,-0.02,keila16
0.8,1.0,0.2,keila19
0.96,0.95,0.01,lagedi2
0.67,0.96,0.29,lagedi3
0.93,0.98,0.05,lagedi4
0.85,0.83,-0.02,lagedi5
0.84,0.93,0.09,lagedi7
0.76,0.9,0.14,lagedi8
0.92,0.93,0.01,lagedi9
0.69,0.78,0.09,lagedi10
0.87,0.82,-0.05,lagedi11
0.72,0.57,-0.15,lagedi12
0.61,0.83,0.22,lagedi13
0.98,1.0,0.02,lagedi17
0.83,0.95,0.12,lagedi18
0.94,0.83,-0.11,lagedi19
0.8,1.0,0.2,lagedi21
0.97,0.98,0.01,lagedi22
0.72,0.94,0.22,lagedi23
1.0,0.98,-0.02,lagedi24
0.86,0.96,0.1,maleva7
0.74,0.86,0.12,peetri1
0.76,0.85,0.09,peetri5
0.73,1.0,0.27,peetri7
0.88,0.91,0.03,peetri9
0.93,0.94,0.01,peetri10
0.89,0.97,0.08,peetri11
0.85,0.92,0.07,peetri12
0.89,0.91,0.02,peetri13
0.69,0.74,0.05,peetri14
0.87,1.0,0.13,peetri15
0.81,0.91,0.1,peetri17
0.55,0.88,0.33,peetri19
0.84,0.91,0.07,peetri22
1.0,0.97,-0.03,peetri23
0.97,1.0,0.03,peetri24
0.73,0.97,0.24,peetri26
0.89,0.73,-0.16,peetri27
0.87,0.93,0.06,peetri29
0.98,0.97,-0.01,peetri33
0.39,0.25,-0.14,peetri34
0.77,0.8,0.03,peetri37
0.94,0.98,-0.04,peetri39
1.0,0.98,-0.02,peetri46
0.95,1.0,-0.05,peetri48
0.93,0.95,-0.02,peetri50
0.7,0.92,0.22,peetri52
0.93,0.97,0.04,peetri56
0.77,1.0,0.23,peetri57
0.83,0.89,0.06,peetri61
0.73,0.75,0.02,peetri62
0.93,0.96,0.03,peetri63
0.78,1.0,0.22,peetri65
0.78,0.94,0.16,peetri67
0.83,0.94,0.11,peetri68
0.88,0.97,0.09,peetri69
0.81,1.0,0.19,peetri72
0.88,1.0,0.12,peetri73
0.95,0.96,0.01,peetri74
0.88,0.95,0.07,peetri76
0.88,1.0,0.12,peetri77
0.95,1.0,0.05,peetri78
0.71,0.9,0.19,peetri79
0.8,0.91,0.11,peetri81
0.92,0.98,0.06,peetri82
0.76,0.6,-0.16,peetri83
0.77,1.0,0.23,peetri85
0.95,0.79,-0.16,peetri86
0.69,0.79,0.1,peetri87
0.94,1.0,0.06,peetri89
0.91,0.96,0.05,peetri90
0.92,1.0,0.08,peetri94
0.66,0.74,0.08,peetri96
